"X","Y"
0.5,0
0.499997527658723,0.00157236610386818
0.499990110659342,0.00314471665803388
0.499977749075205,0.00471703611294838
0.499960443028563,0.00628930891937053
0.499938192690559,0.0078615195285205
0.499910998281237,0.00943365239223354
0.49987886006953,0.0110056919631138
0.499841778373267,0.0125776226946879
0.499799753559161,0.014149429041559
0.499752786042811,0.0157210954595603
0.499700876288696,0.0172926064059087
0.49964402481017,0.0188639463393586
0.499582232169459,0.0204350997203558
0.499515498977652,0.0220060510111908
0.499443825894699,0.0235767846761528
0.4993672136294,0.0251472851816831
0.499285662939403,0.0267175369965287
0.499199174631192,0.0282875245918962
0.49910774956008,0.0298572324416049
0.499011388630206,0.031426645022241
0.498910092794515,0.0329957468133103
0.498803863054761,0.0345645222973923
0.498692700461488,0.0361329559602935
0.498576606114023,0.0377010322912008
0.498455581160466,0.0392687357828348
0.498329626797676,0.0408360509316033
0.498198744271263,0.0424029622377546
0.498062934875571,0.0439694542055306
0.49792219995367,0.0455355113433204
0.497776540897337,0.0471011181638131
0.49762595914705,0.0486662591841513
0.497470456191964,0.050230918926084
0.497310033569907,0.0517950819161197
0.497144692867356,0.0533587326856795
0.496974435719426,0.05492185577125
0.496799263809851,0.0564844357145364
0.496619178870972,0.0580464570626151
0.496434182683712,0.0596079043680867
0.496244277077568,0.0611687621892286
0.496049463930584,0.062729015090148
0.49584974516934,0.0642886476409343
0.495645122768928,0.0658476444178118
0.495435598752932,0.0674059900032921
0.495221175193412,0.0689636689863268
0.495001854210882,0.0705206659624597
0.494777637974286,0.0720769655339791
0.494548528700981,0.0736325523100706
0.494314528656711,0.0751874109069683
0.49407564015559,0.0767415259481081
0.493831865560072,0.0782948820642788
0.493583207280933,0.0798474638937747
0.493329667777246,0.0813992560825472
0.493071249556356,0.0829502432843567
0.492807955173854,0.0845004101609245
0.492539787233556,0.0860497413820845
0.492266748387471,0.0875982216259345
0.491988841335781,0.089145835578988
0.491706068826809,0.0906925679363255
0.491418433656997,0.0922384034017462
0.491125938670874,0.0937833266879186
0.490828586761029,0.0953273225165323
0.490526380868084,0.0968703756184488
0.490219323980663,0.0984124707338527
0.489907419135365,0.0999535926124023
0.489590669416729,0.101493726013381
0.48926907795721,0.103032855705846
0.488942647937143,0.104570966468784
0.488611382584713,0.106108043091254
0.488275285175925,0.107644070372545
0.487934359034568,0.109179033122323
0.487588607532186,0.11071291616078
0.487238034088042,0.112245704318786
0.486882642169083,0.113777382438041
0.486522435289912,0.11530793537122
0.486157417012745,0.116837347982126
0.48578759094738,0.11836560514584
0.485412960751164,0.119892691748868
0.48503353012895,0.121418592689294
0.484649302833068,0.122943292876925
0.48426028266328,0.124466777233446
0.483866473466749,0.125989030692563
0.483467879137999,0.127510038200155
0.483064503618874,0.129029784714425
0.482656350898502,0.130548255206044
0.482243425013254,0.132065434658303
0.481825730046704,0.133581308067261
0.481403270129592,0.135095860441891
0.480976049439777,0.136609076804233
0.480544072202201,0.138120942189537
0.480107342688845,0.139631441646415
0.479665865218685,0.141140560236986
0.479219644157654,0.142648283037025
0.478768683918595,0.144154595136111
0.478312988961219,0.145659481637774
0.477852563792058,0.147162927659641
0.477387412964427,0.148664918333586
0.47691754107837,0.150165438805875
0.476442952780623,0.151664474237313
0.475963652764563,0.153162009803392
0.475479645770163,0.154658030694434
0.474990936583944,0.156152522115745
0.474497530038929,0.157645469287751
0.473999431014598,0.159136857446154
0.473496644436832,0.160626671842072
0.472989175277871,0.162114897742185
0.472477028556264,0.163601520428886
0.471960209336816,0.165086525200418
0.471438722730542,0.166569897371029
0.470912573894612,0.168051622271108
0.470381768032305,0.169531685247338
0.469846310392954,0.171010071662834
0.469306206271895,0.172486766897295
0.468761461010414,0.173961756347142
0.468212079995696,0.175435025425665
0.467658068660771,0.176906559563169
0.46709943248446,0.178376344207116
0.466536176991319,0.179844364822268
0.465968307751587,0.181310606890833
0.465395830381131,0.182775055912609
0.464818750541389,0.184237697405125
0.464237073939313,0.185698516903784
0.463650806327316,0.187157499962009
0.463059953503213,0.188614632151385
0.462464521310163,0.190069899061798
0.461864515636611,0.191523286301584
0.461259942416234,0.192974779497664
0.460650807627877,0.194424364295694
0.460037117295496,0.195872026360199
0.459418877488098,0.19731775137472
0.458796094319683,0.198761525041956
0.458168773949182,0.200203333083902
0.457536922580393,0.201643161241991
0.456900546461927,0.203080995277236
0.456259651887138,0.204516820970373
0.455614245194068,0.205950624121996
0.454964332765378,0.207382390552704
0.454309921028291,0.208812106103233
0.453651016454522,0.210239756634607
0.45298762556022,0.211665328028267
0.452319754905899,0.213088806186218
0.451647411096376,0.214510177031163
0.450970600780705,0.215929426506649
0.450289330652109,0.217346540577198
0.449603607447918,0.218761505228452
0.4489134379495,0.22017430646731
0.448218828982191,0.221584930322063
0.447519787415234,0.222993362842538
0.446816320161706,0.224399590100231
0.446108434178452,0.225803598188448
0.445396136466014,0.227205373222439
0.444679434068565,0.22860490133954
0.443958334073837,0.230002168699305
0.443232843613049,0.231397161483649
0.442502969860844,0.232789865896979
0.441768720035208,0.23418026816633
0.441030101397406,0.235568354541509
0.440287121251907,0.236954111295222
0.439539786946314,0.238337524723214
0.438788105871289,0.239718581144405
0.438032085460479,0.241097266901024
0.437271733190447,0.242473568358744
0.436507056580594,0.243847471906817
0.435738063193086,0.24521896395821
0.43496476063278,0.246588030949737
0.434187156547146,0.247954659342195
0.433405258626196,0.249318835620496
0.432619074602404,0.250680546293803
0.43182861225063,0.252039777895662
0.431033879388046,0.253396516984136
0.430234883874054,0.254750750141937
